name,state,chamber,party,lid_tw,total_posts_tw,total_likes_tw,total_retweets_tw,total_misinfo_count_tw,total_interactions_tw,interaction_score_tw,overperforming_score_tw,civility_score_tw
Alex Ramel,WA,H,D,20263616,1246,3790,3121355,0,3125145,0.998787256271309,1.295213084767342,1.0
Alex Valdez,CO,,D,823304696362401920,0,0,0,0,0,0.0,0.0,0.0
Alexis Simpson,NH,H,D,2610039575,231,704,53093,0,53797,0.9869137684257486,1.279815714884182,1.0
Alfonso Lopez,VA,H,D,297428020,4340,21734,10027838,0,10049572,0.9978373208331658,1.2939812220243585,1.0
Alfred C. Carr Jr.,MD,H,D,58773116,380,759,105703,0,106462,0.9928706956472731,1.2875405732400336,1.0
Alice Buckley,MT,H,D,1214248849235009536,0,0,0,0,0,0.0,0.0,0.0
Alice Forgy Kerr,KY,S,R,58497389,36,21,230722,0,230743,0.9999089896551576,1.2966677326388063,1.0
Alice Peisch,MA,H,D,2815442971,292,2925,17646,0,20571,0.857809537698702,1.112395187753357,1.0
Alicia Hyndman,NY,H,D,3303699483,1367,8778,224424,0,233202,0.9623588133892506,1.2479731990136085,1.0
Alissa Keny-Guyer,OR,H,D,249448443,3089,5050,8541802,3,8546852,0.9994091391777932,1.2960195336608515,1.0
Allen Andrews,MO,H,R,2555949728,5,10,3,0,13,0.2307692307692307,0.2992582508209441,1.0
Allen Farley,AL,H,R,476134543,804,639,1071234,0,1071873,0.9994038472841466,1.2960126712085611,1.0
Allen McNeill,NC,H,R,2343063307,514,229,38033,0,38262,0.9940149495583084,1.2890244254103165,1.0
Allen Skillicorn,IL,H,R,29243936,2090,11034,3695567,0,3706601,0.9970231487014654,1.2929254152030258,1.0
Allison Nutting-Wong,NH,H,D,19237004,912,3891,861305,0,865196,0.995502753133394,1.2909537878905792,1.0
Allison Tant,FL,H,D,463382740,1848,15096,59617,0,74713,0.797946809792138,1.0347660550350406,1.0
Alonzo Baldonado,NM,H,R,53075055,231,2960,483223,0,486183,0.9939117575069468,1.2888906074282305,1.0
Alonzo T. Washington,MD,H,D,1148726298,455,2517,175880,0,178397,0.9858910183467212,1.2784894271522491,1.0
Amanda Bouldin,NH,H,D,3437540602,3996,4868,7043239,2,7048107,0.9993093180906588,1.2958900870971513,1.0
Amanda Estep-Burton,WV,H,D,949032819841470464,0,0,0,0,0,0.0,0.0,0.0
Amanda Septimo,NY,H,D,2672898616,793,10285,247282,0,257567,0.9600686423338394,1.2450033378157417,1.0
Ami Wazlawik,MN,H,D,153645335,664,5041,160735,0,165776,0.9695914969597528,1.2573524400278244,1.0
Amish Shah,AZ,H,D,2889026285,172,818,45110,0,45928,0.9821895140219474,1.2736893690771518,1.0
Amy Galey,NC,S,R,4557275836,122,686,632,0,1318,0.4795144157814871,0.621827463010844,1.0
Amy L. Bradley,NH,H,D,457115225,310,41,1130323,0,1130364,0.9999637284980768,1.2967387171904703,1.0
Amy Loudenbeck,WI,H,R,178864660,25,34,30,0,64,0.46875,0.6078683219800428,1.0
Amy Mercado,FL,H,D,49201288,1738,4419,2997970,0,3002389,0.998528172065645,1.2948771080604653,1.0
Amy Nichole Grady,WV,S,R,1306416678343933952,0,0,0,0,0,0.0,0.0,0.0
Amy Nielsen,IA,H,D,2785968110,722,6571,2495131,0,2501702,0.9973733881973152,1.2933796007915772,1.0
Amy Paulin,NY,H,D,55615697,772,2332,12776,0,15108,0.8456446915541435,1.096619988578876,1.0
Amy Perruso,HI,H,D,100128958,499,3763,94525,0,98288,0.9617145531499268,1.2471377315136696,1.0
Amy Roeder,ME,H,D,67670777,568,1019,3681367,0,3682386,0.9997232772446994,1.2964269034306657,1.0
Amy Sinclair,IA,S,R,3317288348,39,276,665,0,941,0.7066950053134963,0.9164320150007303,1.0
Amy Summers,WV,H,R,3149703021,1238,4418,1274796,2,1279214,0.9965463167226124,1.292307066286009,1.0
Amy Walen,WA,H,D,69687956,47,288,62,0,350,0.1771428571428571,0.2297163334873151,1.0
Ana Hernandez,TX,H,D,904502504,2614,15575,253357,0,268932,0.9420857317091308,1.221683355510123,1.0
Ana Maria Rodriguez,FL,S,R,30891928,342,2790,30124,0,32914,0.9152336391808956,1.1868619444663018,1.0
Anastasia P. Williams,RI,H,D,862406780638421120,0,0,0,0,0,0.0,0.0,0.0
Andre Thapedi,IL,H,D,185270935,4,13,3,0,16,0.1875,0.2431473287920171,1.0
Andrea Dalessandro,AZ,H,D,460247031,19589,10531,17717767,3,17728298,0.9994059779455422,1.2960154342199048,1.0
Andrea Romero,NM,H,D,498372735,263,2017,218664,0,220681,0.9908601102949506,1.2849332747988302,1.0
Andrea Salinas,OR,H,D,4669604480,253,991,161420,0,162411,0.9938981965507262,1.2888730217733988,1.0
Andrea Stewart-Cousins,NY,S,D,36745613,1123,35363,13527,0,48890,0.2766823481284516,0.3587977273137918,1.0
Andreas Borgeas,CA,S,R,34736776,1961,17028,29557,0,46585,0.6344746162927981,0.822777643402314,1.0
Andres Cano,AZ,H,D,31066943,1068,34616,1219459,0,1254075,0.9723971851763252,1.2609908165359995,1.0
Andrew Barkis,WA,H,R,136430730,238,405,1896,0,2301,0.8239895697522817,1.0685379351346709,1.0
Andrew Brenner,OH,,R,3393995735,235,744,805883,0,806627,0.9990776405947236,1.2955896510210023,1.0
Andrew Byrd,WV,H,D,1653574658,69,535,11759,0,12294,0.9564828371563364,1.240353316746523,1.0
Andrew Collins,AR,H,D,233214274,354,7730,148453,0,156183,0.9505067773061088,1.2326036474703417,1.0
Andrew Farmer,TN,H,R,561365370,102,3,22244,0,22247,0.9998651503573516,1.2966108824619658,1.0
Andrew Gounardes,NY,S,D,151921529,4448,76418,2357810,2,2434228,0.9686068848111188,1.256075609020696,1.0
Andrew Hevesi,NY,H,D,187306035,1142,8641,2914,1,11555,0.2521852012115967,0.3270301761892111,1.0
Andrew Koenig,MO,S,R,605754185,321,4132,3242,0,7374,0.4396528342826146,0.5701355320088378,1.0
Andrew Lanza,NY,S,R,22102584,253,1125,1482,0,2607,0.5684695051783659,0.7371831556471435,1.0
Andrew Learned,FL,H,D,2248924302,2753,26667,1430150,0,1456817,0.9816950241519696,1.273048121658486,1.0
Andrew Lewis,PA,H,R,1328208044,91,144,797,0,941,0.8469713071200851,1.0983403247452364,1.0
Andrew Mathews,MN,S,R,3486119113,26,156,183275,0,183431,0.9991495439702124,1.2956828942939689,1.0
Andrew McDaniel,MO,H,R,3171834681,97,160,3274,0,3434,0.953407105416424,1.2363647516444405,1.0
Andrew Perchlik,VT,S,D,964612244,62,65,153683,0,153748,0.999577230272914,1.2962375117983045,1.0
Andrew Zwicker,NJ,H,D,299578411,765,4289,1733749,0,1738038,0.9975322748984776,1.2935856428020742,1.0
Andy Billig,WA,S,D,69210386,70,157,8624,0,8781,0.982120487416012,1.273599856357958,1.0
Andy Davis,AR,H,R,96049490,1252,3374,425110,0,428484,0.9921257269816376,1.2865745084875906,1.0
Andy Fugate,OK,H,D,16150792,4211,23074,5219939,2,5243013,0.995599095405638,1.2910787231766905,1.0
Andy H. Holt,TN,H,R,460723722,550,4371,224118,0,228489,0.9808699762351798,1.2719782112739908,1.0
Andy Josephson,AK,H,D,1097072408,3,7,0,0,7,0.0,0.0,1.0
Andy Manar,IL,S,D,964981015,1375,25401,2176366,0,2201767,0.9884633569310468,1.2818251991817289,1.0
Andy Matthews,NV,H,R,3300892614,33,331,103,0,434,0.2373271889400921,0.3077625175493427,1.0
Andy Vargas,MA,H,D,2425686420,1465,23661,313285,0,336946,0.9297780653279754,1.2057229490875028,1.0
Andy Wells,NC,S,R,900143322,14,34,8,0,42,0.1904761904761904,0.2470068102014141,1.0
Andy Whitt,AL,H,R,2873254919,231,2663,642,0,3305,0.194251134644478,0.2519021040193242,1.0
Angela Mosley,MO,S,D,30604460,307,492,56283,0,56775,0.991334214002642,1.285548085732673,1.0
Angela Romero,UT,H,D,580497795,2140,18049,4404369,0,4422418,0.9959187485217365,1.291493244783727,1.0
Angela V. McKnight,NJ,H,D,3347292917,793,1823,6895,0,8718,0.7908924065152558,1.025618005365731,1.0
Angela Williams,CO,S,D,448372273,415,488,1726902,0,1727390,0.999717492864958,1.296419402329424,1.0
Angela Witwer,MI,H,D,16711450,952,2695,429094,0,431789,0.9937585255761494,1.2886918984433822,1.0
Angelica M. Jimenez,NJ,H,D,2252766184,158,115,314924,1,315039,0.9996349658296274,1.2963123824457237,1.0
Angelica Rubio,NM,H,D,16039183,2845,14490,2360869,0,2375359,0.9938998694513124,1.288875191167046,1.0
Angelika Kausche,GA,H,D,949289962133970944,0,0,0,0,0,0.0,0.0,0.0
Angelo Morinello,NY,H,R,4830236019,125,36,8597,0,8633,0.9958299548245106,1.291378098382159,1.0
Angelo Puppolo,MA,H,D,873499573,32,14,2,0,16,0.125,0.162098219194678,1.0
Angelo Santabarbara,NY,H,D,52612182,2736,9278,26117,0,35395,0.7378725808730047,0.956862650816761,1.0
Angie Chen Button,TX,H,R,236534618,1146,5767,41268,0,47035,0.8773891782715,1.1377857867079366,1.0
Angie Nixon,FL,H,D,54608439,2261,69531,953324,0,1022855,0.9320226229524224,1.2086336594379246,1.0
Anita Burroughs,NH,H,D,826929187701288960,0,0,0,0,0,0.0,0.0,0.0
Anitere Flores,FL,S,R,95357369,822,4058,55373,0,59431,0.931719136477596,1.208240102500972,1.0
Ann Gillespie,IL,S,D,902635581796212736,0,0,0,0,0,0.0,0.0,0.0
Ann Johnson,TX,H,D,371868755,1013,45653,254174,0,299827,0.8477355274875178,1.0993313548303016,1.0
Ann Meyer,IA,H,R,19572818,144,1009,70,0,1079,0.0648748841519925,0.0841288255319923,1.0
Ann Rest,MN,S,D,144567002,106,294,2905,0,3199,0.9080962800875274,1.1776063188759982,1.0
Ann Williams,IL,H,D,505986208,2201,13138,417455,0,430593,0.9694885889923897,1.25721899044182,1.0
Ann-Margaret Ferrante,MA,H,D,1364892560,786,183,4180156,0,4180339,0.999956223645977,1.2967289850051849,1.0
Anna Kelles,NY,H,D,223347949,774,4922,105827,0,110749,0.9555571607870048,1.2391529128183691,1.0
Anna Moeller,IL,H,D,29783082,7,5,930,0,935,0.9946524064171124,1.2898510703833206,1.0
Anna Wishart,NE,S,D,78131411,409,27548,608649,0,636197,0.9566989470242708,1.2406335649444638,1.0
Anne Claflin,MN,H,D,126456854,487,982,502994,0,503976,0.9980514945156118,1.2942589594045415,1.0
Anne Dauphinais,CT,H,R,859550712,1,2,0,0,2,0.0,0.0,1.0
Anne Gobi,MA,S,D,496349300,91,692,1858,0,2550,0.7286274509803922,0.9448736980822332,1.0
Anne Kaiser,MD,H,D,429236843,297,2042,475498,0,477540,0.9957239184152112,1.2912405918772212,1.0
Anne Neu,MN,H,R,108027128,124,1531,4992,0,6523,0.7652920435382493,0.99241981937125,1.0
Anne Thayer,SC,H,R,2174670889,18,13,2942,0,2955,0.9956006768189508,1.2910807739309451,1.0
Annette Chaparro,NJ,H,D,3853438397,598,2481,81382,0,83863,0.9704160356772354,1.2584216900899123,1.0
Annette Quijano,NJ,H,D,1135373598,398,847,2899,0,3746,0.7738921516284036,1.003572317021616,1.0
Annette Taddeo,FL,S,D,134975165,10147,165288,13640926,0,13806214,0.9880279995659924,1.2812606339530204,1.0
Annie McDaniel,SC,H,D,72252909,75,508,341,0,849,0.4016489988221437,0.5208526996031588,1.0
Anthony Bouchard,WY,S,R,78528831,1462,66253,672386,24,738639,0.9103039509151292,1.1804691949537764,1.0
Anthony Daniels,AL,H,D,29012641,411,2463,775233,0,777696,0.9968329527218862,1.2926787717663235,1.0
Anthony Delcollo,DE,S,R,2774405713,74,160,64,0,224,0.2857142857142857,0.3705102153021213,1.0
Anthony Hensley,KS,S,D,479003227,13,135,62,0,197,0.3147208121827411,0.4081254655866006,1.0
Anthony Kern,AZ,H,R,51740855,1604,66748,2951083,34,3017831,0.9778821279256524,1.2681036121524052,1.0
Anthony M. Bucco,NJ,S,R,121220263,384,2952,2650,1,5602,0.4730453409496608,0.6134384589302347,1.0
Anthony Portantino,CA,S,D,69995700,1951,7850,1287847,0,1295697,0.9939414847761476,1.288929157327422,1.0
Anthony Rendon,CA,H,D,1200043633,1203,33806,38962,0,72768,0.5354276605101144,0.6943349622100976,1.0
Anthony Sabatini,FL,H,R,3231657095,4554,3650431,1780507,72,5430938,0.3278452083231294,0.4251449955255003,1.0
Anthony Williams,PA,S,D,43377604,2340,5811,152396,2,158207,0.96326964040782,1.2491543465152444,1.0
Antoinette Sedillo Lopez,NM,S,D,2290426782,1633,6532,2686393,0,2692925,0.9975743847303582,1.2936402502321418,1.0
Antonio Hayes,MD,S,D,1343315905,934,5398,99126,0,104524,0.948356358348322,1.2298150148017035,1.0
Antonio Parkinson,TN,H,D,251415423,848,5807,200245,3,206052,0.9718177935666724,1.2602394697508712,1.0
Aravella Simotas,NY,H,D,37055926,2084,21562,430964,0,452526,0.9523519090615788,1.2349963880442714,1.0
Ardian Zika,FL,H,R,2954077487,1200,5331,326593,0,331924,0.98393909449151,1.275958200104783,1.0
Ariana Kelly,MD,H,D,144987804,101,636,124186,0,124822,0.9949047443559628,1.290178298627504,1.0
Aric Nesbitt,MI,S,R,103744112,1549,139014,973982,1,1112996,0.8750992815787298,1.134816281299634,1.0
Arlando Teller,AZ,H,D,1086113767665020800,0,0,0,0,0,0.0,0.0,0.0
Armando Martinez,TX,H,D,25332041,483,4126,100589,0,104715,0.9605978131117796,1.2456895589417731,1.0
Armando Walle,TX,H,D,574185893,6839,89911,1926946,0,2016857,0.9554202405029212,1.2389753565445965,1.0
Arnold Mooney,AL,H,R,170047565,385,478,934059,4,934537,0.9994885167735468,1.2961224693961764,1.0
Art Ellison,NH,H,D,3064078313,19,108,18,0,126,0.1428571428571428,0.1852551076510606,1.0
Art Staed,IA,H,D,2898551564,1029,1681,382116,0,383797,0.9956200804070902,1.291105936227612,1.0
Arthur Handy,RI,H,D,26077444,18,31,160,0,191,0.837696335078534,1.0863126731371096,1.0
Arthur L. Haywood III,PA,S,D,235800763,135,164,94,0,258,0.3643410852713178,0.4724723288154957,1.0
Arthur Orr,AL,S,R,398081131,477,5111,52340,0,57451,0.9110372317279072,1.1814201030651443,1.0
Ash Kalra,CA,H,D,17721573,6553,222302,4717735,0,4940037,0.9549999321867428,1.2384303067080746,1.0
Ashley Aune,MO,H,D,103688025,1826,28889,1366880,0,1395769,0.9793024490442186,1.2699454643444383,1.0
Ashley Hinson,IA,H,R,18189966,1408,39065,293353,1,332418,0.8824822963858756,1.1443904697198442,1.0
Ashton Clemmons,NC,H,D,929168794135728000,0,0,0,0,0,0.0,0.0,0.0
Athena Hollins,MN,H,D,3328863506,915,22519,90781,0,113300,0.8012444836716681,1.0390424315418938,1.0
Athena Salman,AZ,H,D,3279277182,8565,138631,9838805,1,9977436,0.9861055485597704,1.2787676268762391,1.0
Attica Scott,KY,H,D,14304836,9471,261873,13709854,0,13971727,0.981256934092686,1.2724800127108318,1.0
Audrey Gibson,FL,S,D,1242362706,814,4638,248175,0,252813,0.981654424416466,1.2729954724998866,1.0
Aura Kenny Dunn,NJ,H,R,1225449961334153216,0,0,0,0,0,0.0,0.0,0.0
Austin Davis,PA,H,D,242603042,1383,9602,851991,0,861593,0.9888555269135196,1.2823337596279725,1.0
Autumn Burke,CA,H,D,2923391802,115,321,2740,0,3061,0.8951323097027115,1.1607948267714288,1.0
Avery Bourne,IL,H,R,462255460,66,463,1142,0,1605,0.7115264797507788,0.9226974022196752,1.0
Avery Frix,OK,H,R,325170145,38,3,197,0,200,0.985,1.2773339672540631,1.0
Barbara Ann Fenton-Fung,RI,H,R,2912001357,301,3505,91472,1,94977,0.9630963285848152,1.2489295982122488,1.0
Barbara Bessette,MT,H,D,967214466902315008,0,0,0,0,0,0.0,0.0,0.0
Barbara Bollier,KS,S,D,1179862944261312512,0,0,0,0,0,0.0,0.0,0.0
Barbara Drummond,AL,H,D,3561716716,3,1,0,0,1,0.0,0.0,1.0
Barbara Favola,VA,S,D,278124320,586,2071,345924,0,347995,0.9940487650684636,1.2890682768821349,1.0
Barbara Fleischauer,WV,H,D,209763888,117,294,196,0,490,0.4,0.5187143014229698,1.0
Barbara Hall McLachlan,CO,,D,3562543392,174,551,291031,0,291582,0.9981103085924372,1.294335228661477,1.0
Barbara Hernandez,IL,H,D,33267613,998,2016,413636,0,415652,0.995149788765602,1.2904960687269131,1.0
Barbara Phifer,MO,H,D,1210019619156705280,0,0,0,0,0,0.0,0.0,0.0
Barbara Rachelson,VT,H,D,276473490,3829,2772,2067951,0,2070723,0.9986613371271772,1.2950497946151318,1.0
Barbara Reich Freiberg,LA,H,R,1682238786,1,1,0,0,1,0.0,0.0,1.0
Barbara Smith Warner,OR,H,D,3070368830,497,5611,52935,0,58546,0.9041608307997132,1.172502884305713,1.0
Barbara Washington,MO,H,D,437184896,2248,1026,9226742,0,9227768,0.9998888138496764,1.296641568941692,1.0
Barbara Wasinger,KS,,R,622018958,285,408,122756,0,123164,0.9966873437043292,1.2924899480667664,1.0
Barrow Peacock,LA,S,R,1725751315,25,134,61,0,195,0.3128205128205128,0.4056611844461687,1.0
Barry Finegold,MA,S,D,35952917,868,2349,4862,0,7211,0.6742476771598946,0.8743547821101371,1.0
Barry Fleming,GA,H,R,1360033190,465,0,2054001,0,2054001,1.0,1.2967857535574243,1.0
Barry Ivey,LA,H,R,1095959112,493,922,19647,1,20569,0.9551752637464144,1.2386576741768058,1.0
Bart Hester,AR,S,R,369080557,222,1194,424455,1,425649,0.9971948718310156,1.293148103310983,1.0
Bart Rowland,KY,H,R,39297510,164,780,53290,0,54070,0.9855742555945995,1.2780786537280406,1.0
Beau Baird,IN,H,R,4514130521,1,0,4,0,4,1.0,1.2967857535574243,1.0
Beau Beaullieu,LA,H,R,874293751568641920,0,0,0,0,0,0.0,0.0,0.0
Beau LaFave,MI,H,R,1257168498,1679,39508,2644220,7,2683728,0.9852786869608248,1.2776953645345628,1.0
Becky Carney,NC,H,D,2321537790,427,486,599995,0,600481,0.9991906488298548,1.2957361984903553,1.0
Becky Currie,MS,H,R,21700947,16,22,98,0,120,0.8166666666666667,1.0590416987385634,1.0
Becky Duncan Massey,TN,S,R,291970841,666,4237,10778,0,15015,0.7178155178155178,0.9308529371856092,1.0
Becky Nutt,AZ,H,R,2790039832,865,646,3258457,1,3259103,0.9998017859515332,1.296528712403218,1.0
Becky Ruth,MO,H,R,408830142,718,652,80002,0,80654,0.9919160859969748,1.286302649045318,1.0
Becky Whitley,NH,S,D,4753125156,1401,8254,48992,0,57246,0.8558152534674912,1.109809028373779,1.0
Ben Allen,CA,S,D,2343386431,1257,8571,1064641,0,1073212,0.9920136934734236,1.2864292250302178,1.0
Ben Baker,MO,H,R,793963034,129,771,371,0,1142,0.3248686514886165,0.4212850390278498,1.0
Ben Chafin,VA,S,R,2582897725,5,0,33714,0,33714,1.0,1.2967857535574243,1.0
Ben Clark,NC,S,D,723019278,219,156,1352358,0,1352514,0.9998846592345808,1.2966361812960248,1.0
Ben Diamond,FL,H,D,453572185,1843,30479,509287,0,539766,0.943532938347358,1.2235600724610296,1.0
Ben Gilmore,AR,S,R,894049578,137,882,7597,1,8479,0.8959782993277509,1.161891894064837,1.0
Ben Hueso,CA,S,D,79059173,179,106,292594,0,292700,0.99963785445849,1.29631612837848,1.0
Ben Kramer,MD,S,D,1359934838,1,0,680,0,680,1.0,1.2967857535574243,1.0
Ben Lien,MN,H,D,586634644,2,0,0,0,0,0.0,0.0,1.0
Ben McGorty,CT,H,R,110730265,1,0,1,0,1,1.0,1.2967857535574243,1.0
Ben Queen,WV,H,R,241640064,10,3,39,0,42,0.9285714285714286,1.2041581997318942,1.0
Ben Toma,AZ,H,R,859889579687424000,0,0,0,0,0,0.0,0.0,0.0
Benjie E. Wimberly,NJ,H,D,100115449,3320,18049,213920,9,231969,0.9221921894735936,1.1958856933512851,1.0
Bert Reeves,GA,H,R,2165263892,44,79,1865,0,1944,0.9593621399176956,1.244087155547632,1.0
Bert Stedman,AK,S,R,194699130,50,350,77,0,427,0.180327868852459,0.2338466112972405,1.0
Beryl Amedee,LA,H,R,3222155493,10,14,22,0,36,0.6111111111111112,0.7924801827295374,1.0
Beth Bye,CT,S,D,1141563763,547,330,3491588,0,3491918,0.9999054960626224,1.2966632021977782,1.0
Beth Doglio,WA,H,D,2562080785,576,13910,174950,0,188860,0.9263475590384412,1.2012743174037457,1.0
Beth E. Bernstein,SC,H,D,524443212,499,5491,761729,0,767220,0.99284299157999,1.2875046470002651,1.0
Beth Mizell,LA,S,R,471571703,83,141,5172,0,5313,0.9734613212874084,1.2623707730846978,1.0
Beth Richards,NH,H,D,480551075,4,0,6091,0,6091,1.0,1.2967857535574243,1.0
Beth Wessel-Kroeschell,IA,H,D,17192077,27,13,148090,0,148103,0.9999122232500356,1.296671925918577,1.0
Betsy Johnson,OR,S,D,101273716,49,308,39,0,347,0.1123919308357348,0.1457482547225924,1.0
Betty Little,NY,S,R,22328580,3,25,3,0,28,0.1071428571428571,0.1389413307382954,1.0
BettyLou DeCroce,NJ,H,R,834084241,184,302,7177,0,7479,0.9596202700895842,1.2444218950771009,1.0
Beverly Gossage,KS,,R,28134807,7,7,76,0,83,0.9156626506024096,1.1874182803658344,1.0
Bill Beck,TN,H,D,2548594812,248,1429,156063,0,157492,0.9909265232519748,1.2850193981753508,1.0
Bill Brady,IL,S,R,27677194,1,3,1,0,4,0.25,0.3241964383893561,1.0
Bill Cunningham,IL,S,D,1921759320,20,82,67,0,149,0.4496644295302013,0.5831184260962916,1.0
Bill DeSteph,VA,S,R,158388227,536,3422,31189,5,34611,0.901129698650718,1.1685721553177462,1.0
Bill Dodd,CA,S,D,2343970081,1317,3187,791567,0,794754,0.9959899541241692,1.2915855831945355,1.0
Bill Eigel,MO,S,R,3228593299,364,4882,6325,1,11207,0.5643794057285625,0.7318791729500054,1.0
Bill Ferguson,MD,S,D,12343872,1127,20798,108857,0,129655,0.8395896803054259,1.0887679362539089,1.0
Bill Galvano,FL,S,R,44457848,441,8709,154945,0,163654,0.9467840688281374,1.2277760921514609,1.0
Bill Gannon,NH,S,R,808877273046810624,0,0,0,0,0,0.0,0.0,0.0
Bill Hansell,OR,S,R,473368736,2,11,2,0,13,0.1538461538461538,0.1995055005472961,1.0
Bill Henderson,WY,H,R,3173028092,684,4,359528,0,359532,0.9999888744256422,1.2967713260710974,1.0
Bill Kinkade,MS,H,R,3178603578,6,1,14,0,15,0.9333333333333332,1.2103333699869296,1.0
Bill McCamley,NM,H,D,2377681789,1349,6148,4635026,0,4641174,0.9986753351630429,1.2950679470686202,1.0
Bill Owen,MO,H,R,2754718124,378,1942,21358,0,23300,0.9166523605150214,1.1887017220806642,1.0
Bill Post,OR,H,R,2257307316,4312,35169,1727377,6,1762546,0.9800464782195756,1.2709103107792723,1.0
Bill Powers,TN,S,R,36375913,67,543,1453,0,1996,0.7279559118236473,0.9440028556708104,1.0
Bill Quirk,CA,H,D,1674093146,807,5546,173103,0,178649,0.9689558855633112,1.2565281882241202,1.0
Bill Rehm,NM,H,R,468811415,4,4,3,0,7,0.4285714285714285,0.5557653229531819,1.0
Bill Reineke,OH,,R,2344505317,100,949,122,0,1071,0.1139122315592903,0.1477197590420222,1.0
Bill Roemer,OH,,R,622917928,91,362,87,0,449,0.1937639198218262,0.2512702907783873,1.0
Bill Sandifer III,SC,H,R,209657419,1,0,57,0,57,1.0,1.2967857535574243,1.0
Bill Stanley,VA,S,R,38628901,152,294,639,0,933,0.684887459807074,0.8881523006679468,1.0
Bill Taylor,SC,H,R,321013165,678,1818,12211,10,14029,0.8704112908974267,1.1287369617713103,1.0
Bill Werkheiser,GA,H,R,500493738,12,18,35,0,53,0.660377358490566,0.8563679504624502,1.0
Bill Wielechowski,AK,S,D,19788386,260,6233,143484,1,149717,0.9583681211886426,1.242798126221027,1.0
Bill Zedler,TX,H,R,39350934,1,0,0,0,0,0.0,0.0,1.0
Bishop Davidson,MO,H,R,1673532638,1,0,0,0,0,0.0,0.0,1.0
Blaise Ingoglia,FL,H,R,147696336,1528,24627,767018,3,791645,0.968891359131934,1.2564445112671825,1.0
Blake Curd,SD,S,R,19305587,4,6,2,0,8,0.25,0.3241964383893561,1.0
Blake Filippi,RI,H,R,2701574780,1368,9802,152343,0,162145,0.9395479354898394,1.2183923775275138,1.0
Blake Miguez,LA,H,R,1347682759,418,2743,781748,1,784491,0.9965034653042546,1.2922514971771626,1.0
Blake Stephens,OK,S,R,1199934875928875008,0,0,0,0,0,0.0,0.0,0.0
Blake Tillery,GA,S,R,558198353,22,278,17506,0,17784,0.9843679712100764,1.2765143613234522,1.0
Bo Mitchell,TN,H,D,266108963,324,5127,1754003,0,1759130,0.997085491123453,1.2930062599677017,1.0
Bo Watson,TN,S,R,501141586,405,3959,147178,0,151137,0.9738052230757523,1.2628167400244457,1.0
Bob Ballinger,AR,S,R,500184805,5928,17033,6635899,18,6652932,0.9974397754253312,1.2934656908030866,1.0
Bob Duff,CT,S,D,133122139,4443,45538,3466444,0,3511982,0.987033532632001,1.2799710234006365,1.0
Bob Gardner,CO,,R,619208886,41,82,3292,0,3374,0.975696502667457,1.265269324454962,1.0
Bob Hackett,OH,,R,447335163,2465,19507,1761633,0,1781140,0.9890480254219208,1.2825833889512483,1.0
Bob Hensgens,LA,S,R,36057846,97,269,16,0,285,0.0561403508771929,0.0728020072172589,1.0
Bob Kressig,IA,H,D,19183709,1609,2610,225241,0,227851,0.9885451457312016,1.2819312617325702,1.0
Bob Kulp,WI,H,R,22015248,31,34,37063,0,37097,0.9990834838396636,1.2955972284577952,1.0
Bob McDermott,HI,H,R,20799998,83,34,255,0,289,0.8823529411764706,1.1442227237271392,1.0
Bob Mensch,PA,S,R,1490838589,2755,3138,21340,0,24478,0.871803251899665,1.1305420369685204,1.0
Bob Onder,MO,S,R,1604949372,2504,32378,1929298,32,1961676,0.9834947259384322,1.2753819492958225,1.0
Bob Steinburg,NC,S,R,586202902,10,22,13,0,35,0.3714285714285714,0.4816632798927577,1.0
Bob Trammell,GA,H,D,3009005601,1679,18512,3760541,0,3779053,0.9951014182653696,1.2904333425513193,1.0
Bob Wieckowski,CA,S,D,1484220415,805,2398,823638,0,826036,0.9970969788241676,1.2930211570543295,1.0
Bobby Cox,SC,H,R,455980767,258,3974,198465,0,202439,0.9803693952252284,1.2713290649517843,1.0
Bobby DuBose,FL,H,D,1641092479,355,1949,671439,0,673388,0.9971056805289076,1.293032441301068,1.0
Bobby Payne,FL,H,R,3280852428,104,351,658,0,1009,0.6521308225966304,0.8456739601989944,1.0
Bobby Powell,FL,S,D,562512484,115,814,40425,0,41239,0.9802614030408108,1.2711890222255362,1.0
Bonnie Cullison,MD,H,D,482307667,554,1409,1015243,0,1016652,0.9986140783670322,1.2949885101282448,1.0
Borris Miles,TX,S,D,47364219,723,7647,195786,0,203433,0.962410228429016,1.2480398733046945,1.0
Brad Buckley,TX,H,R,901207542780412032,0,0,0,0,0,0.0,0.0,0.0
Brad Drake,FL,H,R,163079471,96,291,28945,0,29236,0.9900465179915172,1.283878219890534,1.0
Brad Halbrook,IL,H,R,925314427,27,18,19368,0,19386,0.999071494893222,1.2955816813628491,1.0
Brad Hoylman,NY,S,D,15663169,7409,282375,2684770,0,2967145,0.9048327601111508,1.173374232664183,1.0
Brad Hudson,MO,H,R,817561496968232960,0,0,0,0,0,0.0,0.0,0.0
Brad Hutto,SC,S,D,2413527589,1,71,4,0,75,0.0533333333333333,0.0691619068563959,1.0
Brad Paquette,MI,H,R,2190582458,67,5,598195,0,598200,0.9999916415914408,1.2967749144922829,1.0
Brad Tabke,MN,H,D,348492203,4959,9862,5045377,0,5055239,0.9980491525722128,1.294255922405706,1.0
