name,state,chamber,party,lid_tw,total_posts_tw,total_likes_tw,total_retweets_tw,total_misinfo_count_tw,total_interactions_tw,interaction_score_tw,overperforming_score_tw,civility_score_tw
Shannon Bird,CO,,D,621130507,1422,11211,3464541,0,3475752,0.9967745109547516,1.292602985315291,1.0
Shannon Chandley,NH,S,D,2780696489,171,1371,15084,0,16455,0.9166818596171376,1.188739976096031,1.0
Shannon Erickson,SC,H,R,15917926,563,298,18670,0,18968,0.984289329396879,1.2764123797404638,1.0
Shannon Francis,KS,,R,2908754579,10,53,14,0,67,0.208955223880597,0.2709701574597603,1.0
Shannon Grove,CA,S,R,118854018,893,2901,4291968,2,4294869,0.9993245428440308,1.2959098303404253,1.0
Shannon Roers Jones,ND,H,R,2788021760,78,534,35156,0,35690,0.9850378257214906,1.2773830191108102,1.0
Sharon Beasley-Teague,GA,H,D,1042497503159975936,0,0,0,0,0,0.0,0.0,0.0
Sharon Brown,WA,S,R,1043885438,87,166,5824,0,5990,0.9722871452420702,1.260848118316935,1.0
Sharon Cooper,GA,H,R,143835283,3,17,5,0,22,0.2272727272727272,0.2947240348994147,1.0
Sharon Hewitt,LA,S,R,66344815,267,6793,5702,0,12495,0.4563425370148059,0.591778500743052,1.0
Sharon Jackson,AK,H,R,1088308352604561408,0,0,0,0,0,0.0,0.0,0.0
Sharon Moriwaki,HI,S,D,1131804360,1,0,0,0,0,0.0,0.0,1.0
Sharon Nordgren,NH,H,D,2180201223,7476,117,31197218,2,31197335,0.9999962496796602,1.2967808901954363,1.0
Sharon Quirk-Silva,CA,H,D,1927853785,1776,8126,227785,1,235911,0.965554806685572,1.252117717588743,1.0
Sharon Shewmake,WA,H,D,825973665187500032,0,0,0,0,0,0.0,0.0,0.0
Sharon Steckman,IA,H,D,19102436,628,291,628978,1,629269,0.9995375586593332,1.296186066214992,1.0
Shavonda E. Sumter,NJ,H,D,2541597056,1341,3123,2565065,0,2568188,0.9987839675288568,1.295208819972983,1.0
Shawn Fluharty,WV,H,D,21116517,3148,108762,2692288,0,2801050,0.9611709894503848,1.2464328458519525,1.0
Shawn Thierry,TX,H,D,56717592,2432,15578,2685890,0,2701468,0.994233505634714,1.2893078458165528,1.0
Shawnna Bolick,AZ,H,R,155255362,1595,24052,575677,4,599729,0.9598952193407356,1.244778445348945,1.0
Shay Shelnutt,AL,S,R,2352387446,2,2,309,0,311,0.9935691318327974,1.2884462953351905,1.0
Shea Backus,NV,H,D,1250138480,37,460,131,0,591,0.22165820642978,0.2874432042572294,1.0
Shea Roberts,GA,H,D,972649975464198016,0,0,0,0,0,0.0,0.0,0.0
Sheikh Rahman,GA,S,D,739574102,192,2018,91396,0,93414,0.9783972423833688,1.268771605242623,1.0
Sheila Harrington,MA,H,R,111112682,63,116,2256,0,2372,0.951096121416526,1.2333679005166736,1.0
Sheila Jones,GA,H,D,298882893,2,1,0,0,1,0.0,0.0,1.0
Sheila Ruth,MD,H,D,950484115656146944,0,0,0,0,0,0.0,0.0,0.0
Shelley Hughes,AK,S,R,1088185232,9,2,770,0,772,0.9974093264248703,1.293426204973079,1.0
Shelley Rudnicki,ME,H,R,64235037,6,0,56525,0,56525,1.0,1.2967857535574243,1.0
Shelly Boshart Davis,OR,H,R,188841271,637,1983,156909,0,158892,0.9875198247866476,1.2806016401388487,1.0
Shelly Duncan,WY,H,R,3160118700,374,445,109852,0,110297,0.9959654387698668,1.2915537920323326,1.0
Shelly Hutchinson,GA,H,D,22317849,52,7,341015,0,341022,0.999979473465055,1.296759135039338,1.0
Shelly L. Hettleman,MD,S,D,31277613,2396,16671,414696,0,431367,0.9613530937693424,1.2466689961384383,1.0
Shelly Simonds,VA,H,D,2979059877,639,7989,137613,1,145602,0.94513124819714,1.2256327379039975,1.0
Shenna Bellows,ME,S,D,30768622,1936,10300,7556418,0,7566718,0.998638775754561,1.2950205373485422,1.0
Sherae'a Moore,DE,H,D,1283965000562946048,0,0,0,0,0,0.0,0.0,0.0
Sheree Sample-Hughes,MD,H,D,3302009811,19,9,41953,0,41962,0.9997855202325914,1.2965076192506229,1.0
Sheri Gilligan,GA,H,R,575476401,703,593,1856263,5,1856856,0.9996806429793156,1.2963716159227026,1.0
Sherry Dorsey Walker,DE,H,D,1117953943,49,53,5401,0,5454,0.9902823615694902,1.2841840584825173,1.0
Sherry Gay-Dagnogo,MI,H,D,358831749,1059,852,991335,0,992187,0.9991412909058474,1.2956721918376772,1.0
Sherry Roberts,RI,H,R,2591680206,72,59,16582,0,16641,0.9964545399915872,1.292188051528707,1.0
Sheryl Cole,TX,H,D,423453828,1011,20429,2975648,0,2996077,0.9931814168994988,1.2879435121332474,1.0
Sheryl Kennedy,MI,H,D,901946262664208384,0,0,0,0,0,0.0,0.0,0.0
Sheryl M. Delozier,PA,H,R,1846271804,846,3651,4054,0,7705,0.5261518494484101,0.6823062225725891,1.0
Shevrin Jones,FL,S,D,48882164,5922,497782,325503,0,823285,0.3953709833168344,0.512711458535261,1.0
Shirley Turner,NJ,S,D,146980282,9,84,29,0,113,0.2566371681415929,0.332803423479339,1.0
Sid Saab,MD,H,R,49778115,14,20,5691,0,5711,0.9964979863421468,1.292244392137157,1.0
Simcha Eichenstein,NY,H,D,821136910492037120,0,0,0,0,0,0.0,0.0,0.0
Sine Kerr,AZ,S,R,892155890,715,4760,104031,0,108791,0.956246380674872,1.2400466833500237,1.0
Siobhan Dunnavant,VA,S,R,3066052457,15,323,150,0,473,0.3171247357293869,0.4112428393945321,1.0
Sondy Pope,WI,H,D,361956693,7,54,33,0,87,0.3793103448275862,0.4918842513493679,1.0
Sonia Chang-Diaz,MA,S,D,196299243,1791,49768,1460027,0,1509795,0.96703658443696,1.2540392658666812,1.0
